#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-10-31T19:46:12 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-10-31T19:46:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VI/49/bound_18&-order=I&-out=RAB1875&-out=DEB1875&-out=cst&-out=type&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_6049
#Name: VI/49
#Title: Constellation Boundary Data (Davenhall+ 1989)
#INFO	ivoid=ivo://cds.vizier/vi/49	    IVOID of underlying data collection
#INFO	creator=Davenhall A.C.	    First author or institution
#INFO	cites=bibcode:1997yCat.6049....0D	    Bibcode of the dataset
#INFO	original_date=1997	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/49	    Dataset landing page
#INFO	publication_date=2024-10-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1875:	eq_FK4 B1875
#Table	VI_49_bound_18:
#Name: VI/49/bound_18
#Title: Boundaries for B1875 (original file)
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAB1875	(F8.4)	[0/24]? Right ascension in decimal hours (B1875)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1875	(F9.5)	[-90/88]? Declination in degrees (1875)	[ucd=pos.eq.dec;meta.main]
#Column	cst	(A4)	Constellation abbreviation	[ucd=meta.id.part]
#Column	type	(A1)	[O] Type of point (O = original)	[ucd=meta.note]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;RAB1875;DEB1875;cst;type;_RA.icrs;_DE.icrs
deg;deg;deg;deg; ; ;deg;deg
----------;----------;--------;---------;----;-;--------;---------
344.465240;+35.168194;343.0000;+34.50000;AND ;O;344.4652;+35.16819
344.342802;+53.167966;343.0000;+52.50000;AND ;O;344.3428;+53.16797
351.452816;+53.186940;349.9999;+52.50000;AND ;O;351.4528;+53.18694
351.465600;+50.686955;349.9999;+50.00000;AND ;O;351.4656;+50.68695
355.270479;+50.692845;353.7499;+50.00000;AND ;O;355.2705;+50.69285
355.275994;+48.692851;353.7499;+48.00000;AND ;O;355.2760;+48.69285
004.146269;+48.694867;002.5000;+48.00000;AND ;O;004.1463;+48.69487
004.143178;+46.694871;002.5000;+46.00000;AND ;O;004.1432;+46.69487
014.775952;+46.675692;013.0000;+46.00000;AND ;O;014.7760;+46.67569
014.788742;+48.675671;013.0000;+48.00000;AND ;O;014.7887;+48.67567
018.588271;+48.663201;016.7500;+48.00000;AND ;O;018.5883;+48.66320
018.605767;+50.663167;016.7500;+50.00000;AND ;O;018.6058;+50.66317
022.407791;+50.647808;020.5000;+50.00000;AND ;O;022.4078;+50.64781
026.968367;+50.625676;025.0000;+50.00000;AND ;O;026.9684;+50.62568
026.931284;+47.625778;025.0000;+47.00000;AND ;O;026.9313;+47.62578
032.621323;+47.592687;030.6250;+47.00000;AND ;O;032.6213;+47.59269
032.673629;+51.092518;030.6250;+50.50000;AND ;O;032.6736;+51.09252
039.885288;+51.042313;037.7500;+50.50000;AND ;O;039.8853;+51.04231
039.679166;+37.293109;037.7500;+36.75000;AND ;O;039.6792;+37.29311
031.870929;+37.347036;030.0000;+36.75000;AND ;O;031.8709;+37.34704
031.854091;+35.597091;030.0000;+35.00000;AND ;O;031.8541;+35.59709
022.910692;+35.645289;021.1249;+35.00000;AND ;O;022.9107;+35.64529
022.897284;+33.645322;021.1249;+33.00000;AND ;O;022.8973;+33.64532
012.442943;+33.681849;010.7500;+33.00000;AND ;O;012.4429;+33.68185
012.413371;+24.431899;010.7500;+23.75000;AND ;O;012.4134;+24.43190
014.423940;+24.426591;012.7500;+23.75000;AND ;O;014.4239;+24.42659
014.414692;+21.676609;012.7500;+21.00000;AND ;O;014.4147;+21.67661
003.739816;+21.695165;002.1250;+21.00000;AND ;O;003.7398;+21.69516
003.740540;+22.695163;002.1250;+22.00000;AND ;O;003.7405;+22.69516
002.609914;+22.695729;001.0000;+22.00000;AND ;O;002.6099;+22.69573
002.612739;+28.695720;001.0000;+28.00000;AND ;O;002.6127;+28.69572
001.606116;+28.695997;000.0000;+28.00000;AND ;O;        ;
001.606877;+32.029322;000.0000;+31.33333;AND ;O;        ;
357.828671;+32.028462;356.2500;+31.33333;AND ;O;357.8287;+32.02846
357.828014;+32.778461;356.2500;+32.08333;AND ;O;357.8280;+32.77846
354.049074;+32.774601;352.5000;+32.08333;AND ;O;354.0491;+32.77460
