constellation_id,constellation_name,ra_deg,dec_deg,vertex_index
0,NewCst_00,2.294583,59.149722,0
0,NewCst_00,8.25,62.931667,1
0,NewCst_00,9.242917,53.896944,2
0,NewCst_00,17.775833,55.149722,3
0,NewCst_00,28.59875,63.67,4
1,NewCst_01,2.352917,-45.7475,5
1,NewCst_01,6.550833,-43.68,6
1,NewCst_01,6.570833,-42.306111,7
2,NewCst_02,9.220417,33.719444,8
2,NewCst_02,9.63875,29.311667,9
2,NewCst_02,9.832083,30.860833,10
3,NewCst_03,17.18625,86.256944,11
3,NewCst_03,37.952917,89.264167,12
3,NewCst_03,230.182083,71.833889,13
3,NewCst_03,263.05375,86.586389,14
4,NewCst_04,10.838333,-57.463056,15
4,NewCst_04,17.09625,-55.245833,16
4,NewCst_04,24.42875,-57.236667,17
5,NewCst_05,16.520833,-46.718611,18
5,NewCst_05,28.411667,-46.3025,19
5,NewCst_05,28.989583,-51.608889,20
5,NewCst_05,34.1275,-51.512222,21
5,NewCst_05,36.74625,-47.703889,22
5,NewCst_05,43.470417,-49.890278,23
6,NewCst_06,17.375833,47.241944,24
6,NewCst_06,24.498333,48.628333,25
6,NewCst_06,25.915,50.688611,26
7,NewCst_07,33.25,8.846667,27
7,NewCst_07,37.039583,8.46,28
7,NewCst_07,41.235417,10.114167,29
8,NewCst_08,40.166667,-39.855556,30
8,NewCst_08,44.567917,-40.304444,31
8,NewCst_08,49.982083,-43.069722,32
9,NewCst_09,41.05,49.228333,33
9,NewCst_09,42.64625,38.318611,34
9,NewCst_09,42.674167,55.895556,35
9,NewCst_09,46.294167,38.840278,36
9,NewCst_09,61.645833,50.351389,37
9,NewCst_09,63.724583,48.409444,38
10,NewCst_10,39.870833,0.328611,39
10,NewCst_10,40.825,3.235833,40
10,NewCst_10,45.57,4.089722,41
11,NewCst_11,45.597917,-23.624444,42
11,NewCst_11,49.879167,-21.757778,43
11,NewCst_11,53.447083,-21.632778,44
11,NewCst_11,56.712083,-23.249722,45
12,NewCst_12,51.203333,9.028889,46
12,NewCst_12,51.7925,9.732778,47
12,NewCst_12,52.718333,12.936667,48
13,NewCst_13,53.2325,-9.458333,49
13,NewCst_13,55.812083,-9.763333,50
13,NewCst_13,56.535417,-12.101667,51
13,NewCst_13,59.5075,-13.508611,52
14,NewCst_14,56.079583,32.288333,53
14,NewCst_14,56.298333,42.578611,54
14,NewCst_14,58.532917,31.883611,55
14,NewCst_14,59.463333,40.010278,56
14,NewCst_14,59.74125,35.791111,57
15,NewCst_15,56.21875,24.113333,58
15,NewCst_15,56.302083,24.467222,59
15,NewCst_15,70.56125,22.956944,60
15,NewCst_15,73.562917,2.440556,61
15,NewCst_15,74.637083,1.714167,62
15,NewCst_15,78.322917,2.861111,63
15,NewCst_15,88.792917,7.406944,64
15,NewCst_15,90.595833,9.6475,65
16,NewCst_16,56.05,-64.806944,66
16,NewCst_16,63.60625,-62.473889,67
16,NewCst_16,64.006667,-51.486667,68
16,NewCst_16,68.499167,-55.045,69
17,NewCst_17,64.47375,-33.798333,70
17,NewCst_17,66.009167,-34.016944,71
17,NewCst_17,68.8875,-30.562222,72
18,NewCst_18,69.079583,-3.3525,73
18,NewCst_18,78.232917,-16.205556,74
18,NewCst_18,82.06125,-20.759444,75
18,NewCst_18,83.001667,-0.299167,76
18,NewCst_18,85.19,-1.942778,77
18,NewCst_18,86.115833,-22.448333,78
18,NewCst_18,87.830417,-20.879167,79
18,NewCst_18,89.10125,-14.167778,80
19,NewCst_19,69.1725,41.264722,81
19,NewCst_19,75.619583,41.075833,82
19,NewCst_19,76.62875,41.234444,83
19,NewCst_19,79.1725,45.998056,84
20,NewCst_20,82.802917,-35.470556,85
20,NewCst_20,84.912083,-34.074167,86
20,NewCst_20,87.74,-35.768333,87
20,NewCst_20,94.137917,-35.140556,88
20,NewCst_20,103.532917,-24.183889,89
20,NewCst_20,115.952083,-28.954722,90
20,NewCst_20,121.885833,-24.304167,91
20,NewCst_20,122.256667,-19.245,92
21,NewCst_21,83.053333,18.594444,93
21,NewCst_21,84.41125,21.1425,94
21,NewCst_21,91.03,23.263333,95
21,NewCst_21,95.74,22.513611,96
21,NewCst_21,97.240833,20.212222,97
21,NewCst_21,99.427917,16.399167,98
21,NewCst_21,101.3225,12.895556,99
22,NewCst_22,95.675,-17.955833,100
22,NewCst_22,97.96375,-23.418333,101
22,NewCst_22,103.5475,-12.038611,102
22,NewCst_22,105.939583,-15.633333,103
23,NewCst_23,95.987917,-52.695833,104
23,NewCst_23,102.46375,-53.622222,105
23,NewCst_23,102.484167,-50.614722,106
24,NewCst_24,107.785,30.245278,107
24,NewCst_24,112.277917,31.784444,108
24,NewCst_24,113.65,31.888611,109
24,NewCst_24,115.827917,28.883611,110
24,NewCst_24,116.111667,24.398056,111
24,NewCst_24,116.32875,28.026111,112
25,NewCst_25,107.187083,-70.498889,113
25,NewCst_25,109.2075,-67.957222,114
25,NewCst_25,125.160417,-77.484444,115
25,NewCst_25,130.073333,-52.921944,116
25,NewCst_25,160.739167,-64.394444,117
25,NewCst_25,167.1475,-58.975,118
25,NewCst_25,170.251667,-54.491111,119
26,NewCst_26,111.7875,8.289444,120
26,NewCst_26,112.040833,8.925556,121
26,NewCst_26,114.825417,5.225,122
27,NewCst_27,108.14,-46.759444,123
27,NewCst_27,112.3075,-43.301389,124
27,NewCst_27,119.194583,-52.982222,125
27,NewCst_27,122.383333,-47.336667,126
28,NewCst_28,116.31375,-37.968611,127
28,NewCst_28,118.054167,-40.575833,128
28,NewCst_28,123.512083,-40.348056,129
28,NewCst_28,130.025833,-35.308333,130
28,NewCst_28,130.897917,-33.186389,131
29,NewCst_29,129.414167,5.703611,132
29,NewCst_29,129.689167,3.341389,133
29,NewCst_29,130.80625,3.398611,134
29,NewCst_29,131.694167,6.418889,135
29,NewCst_29,133.848333,5.945556,136
30,NewCst_30,129.41125,-42.989167,137
30,NewCst_30,130.156667,-46.648889,138
30,NewCst_30,135.0225,-41.253889,139
30,NewCst_30,136.03875,-47.097778,140
30,NewCst_30,136.999167,-43.4325,141
31,NewCst_31,134.801667,48.041667,142
31,NewCst_31,135.90625,47.156667,143
31,NewCst_31,137.217917,51.604722,144
31,NewCst_31,143.214167,51.677222,145
32,NewCst_32,141.16375,26.182222,146
32,NewCst_32,142.93,22.968056,147
32,NewCst_32,146.462917,23.774167,148
32,NewCst_32,148.190833,26.006944,149
33,NewCst_33,151.833333,16.762778,150
33,NewCst_33,151.97625,9.9975,151
33,NewCst_33,154.1725,23.417222,152
33,NewCst_33,154.994167,19.840556,153
34,NewCst_34,151.8575,35.244722,154
34,NewCst_34,154.274167,42.914444,155
34,NewCst_34,155.582083,41.499444,156
34,NewCst_34,156.970833,36.707222,157
35,NewCst_35,153.434167,-70.038056,158
35,NewCst_35,158.867083,-78.607778,159
35,NewCst_35,161.445,-80.540278,160
35,NewCst_35,184.58625,-79.312222,161
36,NewCst_36,173.945,-63.019722,162
36,NewCst_36,176.401667,-66.728611,163
36,NewCst_36,176.628333,-61.178333,164
36,NewCst_36,187.79125,-57.113333,165
36,NewCst_36,188.116667,-72.133056,166
36,NewCst_36,193.648333,-57.177778,167
36,NewCst_36,195.5675,-71.548889,168
37,NewCst_37,174.237083,-0.823889,169
37,NewCst_37,176.465,6.529444,170
37,NewCst_37,177.67375,1.764722,171
38,NewCst_38,182.021667,-50.661389,172
38,NewCst_38,182.912917,-52.368611,173
38,NewCst_38,189.425833,-48.541111,174
38,NewCst_38,193.27875,-48.943333,175
38,NewCst_38,196.7275,-49.906111,176
39,NewCst_39,183.951667,-17.541944,177
39,NewCst_39,187.46625,-16.515556,178
39,NewCst_39,188.0175,-16.196111,179
40,NewCst_40,193.507083,55.959722,180
40,NewCst_40,200.985,54.921667,181
40,NewCst_40,201.30625,54.988056,182
41,NewCst_41,200.149167,-36.712222,183
41,NewCst_41,206.421667,-33.043889,184
41,NewCst_41,208.885,-47.288333,185
41,NewCst_41,218.15375,-50.456944,186
41,NewCst_41,228.07125,-52.099167,187
41,NewCst_41,230.451667,-36.261389,188
41,NewCst_41,233.785417,-41.166944,189
41,NewCst_41,234.513333,-42.5675,190
42,NewCst_42,210.955833,-60.373056,191
42,NewCst_42,215.08125,-56.386667,192
42,NewCst_42,219.900417,-60.835556,193
42,NewCst_42,220.626667,-64.975278,194
43,NewCst_43,217.9575,30.371389,195
43,NewCst_43,218.67,29.745,196
43,NewCst_43,221.246667,27.074167,197
44,NewCst_44,228.875833,33.314722,198
44,NewCst_44,231.1225,37.377222,199
44,NewCst_44,233.672083,26.714722,200
44,NewCst_44,235.685833,26.295556,201
44,NewCst_44,239.397083,26.877778,202
44,NewCst_44,239.875833,25.920278,203
45,NewCst_45,229.457917,-30.148889,204
45,NewCst_45,233.881667,-14.789444,205
45,NewCst_45,240.030417,-38.396944,206
45,NewCst_45,241.647917,-36.802222,207
45,NewCst_45,247.784583,-16.612778,208
45,NewCst_45,248.970833,-28.216111,209
46,NewCst_46,229.7275,-68.679444,210
46,NewCst_46,238.785417,-63.430556,211
46,NewCst_46,243.859583,-63.685556,212
47,NewCst_47,233.700417,10.539167,213
47,NewCst_47,233.700417,10.5375,214
47,NewCst_47,236.067083,6.425556,215
47,NewCst_47,236.610833,7.353056,216
47,NewCst_47,237.704167,4.477778,217
48,NewCst_48,236.547083,15.421944,218
48,NewCst_48,237.185,18.141667,219
48,NewCst_48,239.113333,15.661667,220
49,NewCst_49,231.2325,58.966111,221
49,NewCst_49,240.472083,58.565278,222
49,NewCst_49,245.997917,61.514167,223
50,NewCst_50,242.1925,44.935,224
50,NewCst_50,244.935,46.313333,225
50,NewCst_50,248.525833,42.436944,226
50,NewCst_50,250.724167,38.922222,227
51,NewCst_51,247.845417,-34.704444,228
51,NewCst_51,252.540833,-34.293333,229
51,NewCst_51,253.645833,-42.361389,230
51,NewCst_51,258.038333,-43.239167,231
51,NewCst_51,264.33,-42.997778,232
51,NewCst_51,266.89625,-40.126944,233
51,NewCst_51,267.464583,-37.043333,234
52,NewCst_52,252.44625,-59.041389,235
52,NewCst_52,254.89625,-53.160556,236
52,NewCst_52,266.433333,-64.723889,237
52,NewCst_52,283.054167,-62.1875,238
53,NewCst_53,260.250833,-21.112778,239
53,NewCst_53,260.5025,-24.999444,240
53,NewCst_53,261.5925,-24.175278,241
54,NewCst_54,257.594583,-15.724722,242
54,NewCst_54,260.207083,-12.846944,243
54,NewCst_54,264.396667,-15.398611,244
54,NewCst_54,265.35375,-12.875278,245
55,NewCst_55,258.757917,24.839167,246
55,NewCst_55,269.625833,30.189444,247
55,NewCst_55,271.885833,28.7625,248
56,NewCst_56,261.62875,4.140278,249
56,NewCst_56,265.868333,4.567222,250
56,NewCst_56,270.438333,1.305278,251
56,NewCst_56,271.36375,2.499444,252
57,NewCst_57,271.452083,-30.424167,253
57,NewCst_57,274.406667,-36.761667,254
57,NewCst_57,276.9925,-25.421667,255
57,NewCst_57,283.81625,-26.296667,256
57,NewCst_57,285.652917,-29.880278,257
57,NewCst_57,286.735,-27.670556,258
58,NewCst_58,269.063333,37.250556,259
58,NewCst_58,279.234583,38.783611,260
58,NewCst_58,284.735833,32.689444,261
58,NewCst_58,288.439583,39.146111,262
58,NewCst_58,289.092083,38.133611,263
59,NewCst_59,271.657917,-50.091667,264
59,NewCst_59,276.743333,-45.968333,265
59,NewCst_59,277.207917,-49.070833,266
60,NewCst_60,275.189583,71.337778,267
60,NewCst_60,275.264167,72.732778,268
60,NewCst_60,288.13875,67.661667,269
60,NewCst_60,288.8875,73.355556,270
60,NewCst_60,297.043333,70.267778,271
61,NewCst_61,278.801667,-8.244167,272
61,NewCst_61,281.79375,-4.747778,273
61,NewCst_61,285.42,-5.738889,274
61,NewCst_61,286.562083,-4.8825,275
62,NewCst_62,281.415417,20.546389,276
62,NewCst_62,281.755417,18.181389,277
62,NewCst_62,284.905833,15.068333,278
62,NewCst_62,286.3525,13.863333,279
63,NewCst_63,284.4325,-21.106667,280
63,NewCst_63,286.170833,-21.741667,281
63,NewCst_63,287.440833,-21.023611,282
63,NewCst_63,290.418333,-17.847222,283
64,NewCst_64,287.367917,-37.904444,284
64,NewCst_64,287.507083,-39.340833,285
64,NewCst_64,290.805,-44.799722,286
64,NewCst_64,290.971667,-40.616111,287
65,NewCst_65,289.275833,53.368611,288
65,NewCst_65,292.42625,51.729722,289
